,Job Title,Salary Estimate,Rating,Company Name,Description,Location,size,type,sector,founded,industry,revenue
30,Software Engineer I,-1,3.7,"Disney Store
3.7","Disney Streaming is looking for a motivated Software Engineer to join the Growth
Life Engineering team. The Growth Lifecycle engineering group is responsible for
orchestrating the customer flow and integrating with various other backend services
during signups for Disney+, ESPN+, and Hulu. We own and support many tier-1
services that need to be highly available in all regions.
We are a fast-paced and fast-growing org, and you will have influence over the
services and tools built by the team. You will also have an opportunity to learn
about the international landscape and challenges in the areas of billing, payments,
subscriptions, offers, and promotions as our streaming services launch around the
world over the next few years.
Responsibilities
Design and implement tier-1 microservices in Java and/or Scala.
Implement asynchronous processes to run in the cloud for various data
transformation operations.
Work on tech design for various initiatives and projects as per business
needs.
Be involved in code reviews for team members.
Participate in Agile methodology and SCRUM processes such as Sprint
Planning, Backlog grooming, Daily Standups, and Retrospectives with the
team.
Provide on-call support for critical services on a rotational basis.
Own features/functionality and deliver projects end-to-end with high quality
and robust architecture.
Communicate and work with multi-functional business partners.
Ramp up on new domains and technologies.
Basic Qualifications
Experience in backend server-side development
Knowledge of at least one object-oriented language.
Experience working with cloud providers.
Familiarity with databases (SQL and no-SQL)
Experience investigating technical components and taking ownership of
feature development.
Preferred Qualifications
Experience with Scala or Kotlin
Experience with developing applications in cloud platforms (e.g. AWS)
#DISNEYTECH
Show Less",Remote,10000+ Employees,Subsidiary or Business Segment,"Arts, Entertainment & Recreation",1901,Culture & Entertainment,$1 to $5 billion (USD)
31,University Grad Software Engineer (USA),Employer Provided Salary:$139K - $170K,4.1,"Pinterest
4.1","About Pinterest:
Millions of people across the world come to Pinterest to find new ideas every day. It's where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you'll be challenged to take on work that upholds this mission and pushes Pinterest forward. You'll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.
Our new progressive work model is called PinFlex, a term that's uniquely Pinterest to describe our flexible approach to living and working. Visit our PinFlex landing page to learn more.
Note to Applicants:
This role is not one for which the Company has approved visa sponsorship. However, the Company does not discriminate on the basis of citizenship status, provided that an employee is legally authorized to work in the United States at the time of commencement of employment.
Our new progressive work model is called PinFlex, a term that’s uniquely Pinterest to describe our flexible approach to living and working. Visit our PinFlex landing page to learn more. For this position you must be located in the Mainland US, Alaska, or Hawaii.
What you’ll do:
Deliver code that is well-documented, tested, and operable
Independently take ownership over the completion and quality of your tasks and project
Execute scoped technical tasks end-to-end in collaboration with cross-functional Pinployees to help build the future of Pinterest
Effectively and proactively communicate new ideas and opinions with candor as you grow both professionally and personally through learning and development opportunities
What we're looking for:
Pursuing or recently completed a bachelor’s or master’s degree in engineering, computer science, or related technical field
Must graduate between December 2022 and July 2023
One year of programming experience in an object-oriented language
Experience in previous software engineering internships
Proficiency in a dynamic programming language such as Python
Ability to demonstrate an understanding of computer science fundamentals, including data structures and algorithms
Strong communication skills and product sense
Passion for Pinterest and the ability to manage ambiguity and continually learn from your experiences
Colorado based applicants only:
The minimum and maximum salary for this position is $139,000 and $170,000 in Colorado;
This position is eligible for equity;
Information regarding the culture at Pinterest and benefits available for this position can be found here.
This compensation and benefits information is based on Pinterest’s good faith estimate as of the date of publication and may be modified in the future. The level of pay within the range will depend on a variety of job-related factors that may include location, travel, shift requirements, relevant prior experience and/or education, or particular skills and expertise.
#LI-REMOTE
#LI-FILS
Our Commitment to Diversity:
At Pinterest, our mission is to bring everyone the inspiration to create a life they love—and that includes our employees. We’re taking on the most exciting challenges of our working lives, and we succeed with a team that represents an inclusive and diverse set of identities and backgrounds.

Not Specified
0
Apply Now: click Apply Now
Show Less",Remote,1001 to 5000 Employees,Company - Public,Information Technology,2010,Internet & Web Services,$100 to $500 million (USD)
32,Entry Level Software Developer,-1,4.3,"Grant Street Group
4.3","Have you recently begun your software development career and are eager to gain more experience? If so, Grant Street Group may be for you.
We are currently offering all Software Developer hires a $5,000 signing bonus.
We have been hiring great Perl developers for many years, and we want to further expand our distributed team of talented and friendly developers. New hires are mentored by experienced developers and work on critical projects – your code may be released to production within a few days of joining! You can expect an exciting, cutting edge, and challenging environment where you will quickly acquire a wide range of skills.
What makes you the perfect fit for this opportunity?
Excellent organizational and communication skills
Excellent grades and a track record of success
Knowledge of software programming languages (dynamic languages such as Javascript, Ruby,
Python, and Perl are preferred)
Knowledge of relational databases and SQL
Knowledge of HTML, JavaScript, and CSS
Understanding of Object-Oriented programming
Fast learner
Here are just some of the tools and approaches we use. Experience with any of them is helpful:
MySQL
git
jQuery, Ajax
Go
Linux environments (RHEL, CentOS)
Amazon Web Services
Messaging frameworks (rabbitmq)
Docker
Grant Street Group’s culture reflects an emphasis on teamwork, high standards, individual responsibility, and work/life balance. We value potential over experience, and because we believe you’re more than just a resume, we have a unique application process. When you apply, you’ll have the opportunity to take a coding challenge to show us your skills so you’re guaranteed to get noticed by our team.
The anticipated start date for this position is in January 2023
We can’t wait to review your application! Please note that Grant Street may not consider your application if you have previously submitted an application for this role within the last 12 months. We thank you for your understanding.
Show Less",Remote,201 to 500 Employees,Company - Private,Information Technology,1997,Computer Hardware Development,$25 to $100 million (USD)
33,Software Engineer I,-1,4.1,"CDW
4.1","The Sofware Engineer I develops business software solutions through object and data modeling, database design, programming, quality assurance, and implementation support as guided by senior members on the development team and management.
Key Areas of Responsibility
Understand and assimilate application requirements and designs.
Collaborate with other developers and architects to determine optimal solution architecture, efficiency, maintainability, and scalability.
Develop applications to CDW coding standards and quality.
Complete projects/tasks on a timely basis, according to commitments made to stakeholders and management
Report project/task status to the appropriate Application Development Manager on a weekly basis (at minimum).
Ensure stakeholders are responded to in a timely and professional manner. Foster open lines of communication with all parties.
Education and/or Experience Qualifications
Bachelor of Science in Computer Science or equivalent practical experience.
Required Qualification
Excellence verbal and written communication skills, with the ability to effectively interact with all coworkers and stakeholders, including senior leadership.
Demonstrated creative problem-solving skills.
Have an understanding of the stages of the software development life cycle, including Requirements gathering, Design, Development, Testing, and Implementation.
Demonstrated resourcefulness in the software development process.
Preferred Qualifications
Experience in creating web applications using technologies such as C#, JavaScript, HTML, CSS, ASP.NET, MVC, RESTful, Web Services, MongoDB, SQL Server.
Understanding of object oriented design patterns and concepts; experience with applying them to software development is a plus
General understanding (experience is a plus) of relational database development and document database development.
COVID-19 Update:
CDW is committed to maintaining a workplace that is free of known hazards and to ensuring the safety, health, and well-being of coworkers and candidates for employment and their families, as well as the community.
CDW requires all coworkers be fully vaccinated against COVID-19, with the only exceptions being a documented, legally required medical or religious accommodation. Prior to starting with CDW, successful candidates will be required to: (i) be fully vaccinated against COVID-19 and provide CDW with proof of full vaccination; or (ii) apply for and receive a medical or religious-based accommodation to be exempt from the mandatory vaccination policy.
Start your job application: click Apply Now
Show Less",Remote,10000+ Employees,Company - Public,Information Technology,1984,Information Technology Support Services,$10+ billion (USD)
34,"Software Engineer, 2023 Graduate",$107K - $153K (Glassdoor est.),4.7,"Atlassian
4.7","Working at Atlassian

Atlassian can hire people in any country where we have a legal entity. Assuming you have eligible working rights and a sufficient time zone overlap with your team, you can choose to work remotely or return to an office as they reopen (unless it’s necessary for your role to be performed in the office). Interviews and onboarding are conducted virtually, a part of being a distributed-first company.

Your future team
Want the freedom to be creative? How about the time and resources to make them a reality? Yes? Great. We build software for the world's most accomplished thinkers. That means we need our own team to push boundaries daily. At Atlassian, you'll be encouraged to use your imagination and try new things. You'll collaborate with some of the best minds in tech. You'll be a part of our values-driven culture, have opportunities to speak at global conferences, and participate in ShipIt—our quarterly hackathon—within your first week.
Not eligible for Visa sponsorship. Unfortunately, we do not offer U.S. work visa sponsorship to F-1 student graduates at this time.
Please note: At this time, this role is only open to entry level candidates with less than a year of professional experience (this does not include internships/co-ops)
What you'll do
On day one, you will be a valued part of our development team, trusted to make changes to code that directly improve our products, while gaining deep technical knowledge in full life-cycle product development.
You'll dream up and code new features that can be shipped straight into our products, all the while being trained by our amazing team.
Your background
Bachelor's or Masters in Computer Science / Software Engineering or a related technical field and are graduating by June 2023.
1+ years of experience with Java, Python, C, C++, or other related object-oriented programming languages
Desire to collaborate with colleagues to build technical solutions to hard problems
More About Our Team
You'll join a team that is smart and very direct. We challenge each other to improve our work, learn, and ask hard questions. We're dedicated to Agile methodology and are big believers in 'lean' (which means we don't do documentation for documentation's sake). We know the importance of validating assumptions about users and use several types of testing to figure out whether we're right (or wrong). Our bottom line is improving our user's experience—no matter what.

Our perks & benefits

To support you at work and play, our perks and benefits include ample time off, an annual education budget, paid volunteer days, and so much more.

About Atlassian

The world’s best teams work better together with Atlassian. From medicine and space travel, to disaster response and pizza deliveries, Atlassian software products help teams all over the planet. At Atlassian, we're motivated by a common goal: to unleash the potential of every team.

We believe that the unique contributions of all Atlassians create our success. To ensure that our products and culture continue to incorporate everyone's perspectives and experience, we never discriminate based on race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status. All your information will be kept confidential according to EEO guidelines.

To learn more about our culture and hiring process, explore our Candidate Resource Hub.
Apply Now: click Apply Now
Show Less",Remote,5001 to 10000 Employees,Company - Public,Information Technology,2002,Software Development,Unknown / Non-Applicable
35,Software Engineer I,$85K - $117K (Glassdoor est.),3.9,"Disney Media & Entertainment Distribution
3.9","Description
Software Engineer I, Media Engineering

Media Engineering builds the software and systems that prepare media content and metadata for the Disney Streaming platform - providing the best possible playback experience to our viewers.
Media Engineering handles audio, video, and metadata content from ingest through publish - for normalization, processing, and packaging - supporting operator tools and automation for a scalable workflow. We build logic across players and back-end services to measure, control, and optimize playback across our stack.
Our combined Disney and Hulu team is looking for hardworking team players to join the Media Engineering team, who will thrive upon the legacy of Disney and Hulu, embrace unconventional thinking, and who are passionate about contributing to The Walt Disney Company’s direct-to-consumer (DTC) experience through strategic hard work and determination.
The Software Engineer I will be part of the Media Engineering team, which works on building out the scalable distributed systems for processing media that is core to our products.
Responsibilities
Design, develop, test, deploy, maintain and improve software
Manage individual project priorities, deadlines and deliverables
Qualifications
BA/BS degree in Computer Science or related software engineering field or equivalent practical experience
1-3 years of developing software products
Experience in programming with Scala or Javascript and proficient with one or more general purpose programming languages (Rust, Java, Scala, Javascript, C#, C++, etc)
Show Less",Remote,10000+ Employees,Company - Public,Media & Communication,1923,Film Production,$10+ billion (USD)
36,Software Engineer,$82K - $118K (Glassdoor est.),4.4,"Strider
4.4","Job Description
Strider is revolutionizing the way companies, research institutions, and governments protect their innovation and compete in a new era of global strategic competition. Our trailblazing technology and intelligence solutions enable customers to proactively identify, manage, and mitigate nation-state directed IP theft and supply chain vulnerabilities outside the cyber domain.
As an engineer on Strider’s Platform Team, your job is to define and drive simple, efficient software and systems design, solving hard problems, and finding efficient solutions to power our industry-leading platform. You will also provide leadership and guidance to establish best practices for engineering teams.
We’re looking for someone who is passionate about technology, stays on top of the latest trends within the field, and loves to engage with the developer community. This is an amazing opportunity for a new SWE to explore the complete Tech Stack on an extraordinary product and find where they best fit in the development scheme.
What you will do:
Leveraging JavaScript (Node.js), and other modern programming frameworks, languages, and tools to build scalable, secure software.
Using SQL Server to build scalable, secure software.
Utilize React to build exceptional user experiences.
Participate in both sprint planning and daily standup meetings with the team
Participate in code reviews
Work on a wide range of interesting technical and business projects
Investigating, prototyping, and implementing new solutions to a wide array of complex system design challenges.
Work closely with a talented team of engineers, product managers to build microservices-based applications
Develop and maintain software using already established best practices for creating readable and maintainable code

What you will need to be successful:
Bachelors Degree – Computer Science or similar preferred, but not required
1+ years' of experience in software engineering
Ability to work alongside other engineers to accomplish tasks
Ability to manage time efficiently and focus on clear goals
Ability to ask questions when you need assistance
A pragmatic approach towards tackling unforeseen challenges
Infinite appetite for learning
Experience with Scrum methodologies and Agile ceremonies
Experience with HTML and CSS
Experience with JavaScript
Experience with SQL Server
Experience with GIT

Nice to haves:
Experience with a tool like JIRA
Experience with frameworks such as React and Node.JS
Experience working with Material UI
Experience with unit testing

Diversity:

Strider provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Strider complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training.
Learn more about us by visiting https://www.strider.tech/
Company Description
Strider is revolutionizing the way companies, universities, research institutions, and government agencies protect their innovation and compete in a new era of global strategic competition. Our trailblazing technology and intelligence solutions enable clients to proactively identify, manage, and respond to nation-state directed IP theft and supply chain vulnerabilities.
If you’re ready to be part of an elite team tackling some of the most pressing security and technology challenges, let’s talk.
Benefits
Competitive Compensation
Company Equity Options
Unlimited PTO
US Holidays (Office Closed)
Paid Parental Leave
Comprehensive Medical, Dental, and Vision Insurance
401(k) Plan
Show Less",Remote,1 to 50 Employees,Company - Private,Information Technology,2022,Enterprise Software & Network Solutions,Unknown / Non-Applicable
37,Junior Software Engineer (Remote - US),Employer Provided Salary:$75K - $85K,4.0,"TixTrack
4.0","At TixTrack, we deliver world-class ticketing solutions. We combine modern technology, beautifully simple design, and the art of listening to create ticketing software that is easy to use but extremely powerful.

We are a small but growing company and anticipate robust growth in 2022-23. TixTrack HQ is in Los Angeles with a presence across the US, including NYC and international markets including the UK, Australia, and New Zealand.
Job Summary
We’re looking for a Junior Software Engineer to join our team and provide a first level of engineering support after traditional customer support channels fail to resolve a production system issue. This role helps to design and build our web-based software, participating in the development process from beginning to end. This is a ground floor opportunity to join a small team and make a big impact on the success of our company. This position reports directly to the Lead Back End Engineer.
This position is full-time and fully remote. Candidates must reside in the United States.

Essential Duties and Responsibilities
Act as the first line of support and triage items identified and escalated by Ticketing Services.
Monitor servers for incoming errors and alerting metrics.
Code solutions to software defects and to eliminate unnecessary system noise.
Contribute actively to product knowledge base and other product related documentation.
Develop flowcharts, layouts, and documentation to identify requirements and solutions.
Develop and direct software system validation and testing methods.
Write well-designed, testable code.
Produce specifications and determine operational feasibility.
Integrate software components into a fully functional software system.
Develop software verification plans and quality assurance procedures.
Document and maintain software functionality.
Troubleshoot, debug, and upgrade existing systems.
Deploy programs and evaluate user feedback.
Comply with project plans and industry standards.
Ensure software is updated with latest features.
Work closely with clients and cross-functional departments to communicate project statuses and proposals.
Analyze data to effectively coordinate the installation of new systems or the modification of existing systems.
Other Duties
Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties, or responsibilities, that are required of the employee for the job. Duties, responsibilities, and activities may change at any time with or without notice.
Qualifications
Minimum Requirements
Bachelor’s degree in Computer Science, Engineering, or related field.
One or more years of software engineering or development experience.
Experience with cloud-based infrastructure, DNS, networking, storage, logging and monitoring tools preferred.
Strong understanding of software development methodologies, testing strategies, and deployment practices.
Knowledge of DevOps and site reliability tactics and tools preferred.
Hands on experience writing code using an object-oriented language.
Essential Skills
Strong oral and written communication skills.
Ability to work independently and manage multiple projects and deadlines.
Possess strong analytical and problem-solving skills.
Ability to troubleshoot and use deductive reasoning to solve difficult production issues.
Possess a strong resolve to see long-running tasks through from inception to resolution.
Strong customer service skills.
Excellent organizational and attention to details skills.
Equipment/Software/Tools
Microsoft Office
Google Suite
Slack
Company Values
TixTrack is committed to a workplace where everyone is free from bias, prejudice, discrimination, and harassment. We do not discriminate on the basis of race, color, religion, marital status, age, national origin, ancestry, physical or mental disability, medical condition, pregnancy, genetic information, gender, sexual orientation, gender identity or expression, veteran status, or any other status protected under federal, state, or local law.
We strive to ensure a welcoming work environment where everyone belongs and is valued, encouraged, & respected. We embrace and celebrate the unique experiences, perspectives, and cultural backgrounds that each employee brings to our workplace.
We are focused on building a culture that acknowledges and values Diversity, Equity, and Inclusion.
Compensation & Perks
Base annual salary range of $75,000 - $85,000, commensurate with experience.
Annual bonus based on performance and company success
100% paid medical, dental and vision benefits for employee and dependents
Company-paid life insurance
Traditional and Roth 401k plans
Learning & development opportunities
Flexible scheduling
Generous PTO and holiday schedule
Remote work environment
Show Less",Remote,1 to 50 Employees,Company - Private,Information Technology,2009,Computer Hardware Development,Unknown / Non-Applicable
38,Software Engineer - New College Graduate,$122K - $183K (Glassdoor est.),3.6,"Quantcast
3.6","Quantcast is hiring Software Engineers to join our engineering teams in our San Francisco office.
As the real-time pulse of the Internet, Quantcast runs the world’s largest AI-driven insights and measurement platform directly quantifying over 100 million web destinations. We are using machine learning to drive human learning. Quantcast provides brand marketers and publishers with significant audience insights, predictive targeting and measurement solutions across the customer journey.
As a Software Engineer, you’ll seek significant answers related to Machine Learning, Distributed Storage Systems, Big Data platforms, API Development and Data Visualization.
You’ll have the opportunity to learn Software Engineering methodologies and will own projects from start to finish. You are passionate about building scalable backend systems and customer-facing applications. You will thrive in an environment where independent decision-making based on product requirements is the norm. We foster an agile environment where new ideas and software development come together to effectively pursue some of our industry's toughest problems.
Responsibilities
You will provide technical solutions to take on exciting problems in the advertising industry
You will partner with a team of engineers and work on a variety of large scale systems
You will collaborate with Product & Business Operations teams to translate business requirements and build highly robust and scalable products
You will gain exposure to existing Quantcast systems and our technologies to internal and external customers
You will be responsible for the day-to-day product operations
Requirements
BS, MS or PhD degree in computer science or related field
Excellent command of one or more programming language in Java or Python
Experience working with distributed systems, big data and large-scale systems
Deep understanding of algorithms and data structures
Extraordinary verbal and written interpersonal skills
Quantcast is an advertising technology company and the creator of an innovative intelligent audience platform that empowers brands, agencies and publishers to know and grow their audiences online. Our solutions are leveling the playing field for our customers when it comes to effectively reaching audiences online and helping them power a thriving free and open internet for everyone. Founded in 2006 and headquartered in San Francisco, Quantcast has employees in 18 offices across 10 countries.

We are committed to building an inclusive and diverse environment where everyone can be their authentic self. We work to ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.

Recognizing the importance of flexible work environments, Quantcast operates in a hybrid work model. This model gives employees the opportunity to work from home two days a week and work in the office for team collaboration for the remainder of the time. Our hybrid model may differ based on location or team, so please consult with your hiring manager for further information. All hybrid employees can also work remotely for two weeks each year or, if eligible, apply for our fully remote work program. We strongly encourage vaccination for all Quantcast employees as a way to stop the spread of COVID and protect yourself and others.
Show Less",Remote,501 to 1000 Employees,Company - Private,Information Technology,2006,Internet & Web Services,Unknown / Non-Applicable
39,Software Engineer - Multiple Openings & Levels,$93K - $140K (Glassdoor est.),3.9,"The Walt Disney Company (Corporate)
3.9","Software Engineer – Multiple Openings Across Teams At Varying Levels
Enterprise Technology is an organization within Disney that has a mission to deliver technology solutions that align to business strategies while enabling enterprise efficiency and promoting cross-company collaborative innovation. The Enterprise Technology organization drives competitive advantage by enhancing our consumer experiences, enabling business growth, and advancing operational excellence.
Our business customers encompass all domestic and international businesses and brands across The Walt Disney Company including Disney Studios, Walt Disney Parks & Resorts, ESPN, ABC, Marvel Studios, & Pixar to name a few.
We are hiring mid-level, senior, and lead level Software Engineers to join the following teams:
The Entitlement Services Team develops applications and services that orchestrate entitlements and licensing for enterprise applications under the Cloud and Data Transformation Engineering Organization. The organization plays a critical business role by connecting, automating and instrumenting technologies in order to enable secure, rapid, accurate and efficient management of data, systems and services, both in the cloud and in private data centers
The Comms and Messaging Team enables communication solutions, delivers event-driven standards, patterns and tooling. These concepts introduce opportunities for automating business workflows and enabling system, data, and product integration within the Cloud and Data Transformation Engineering Organization. The organization plays a critical business role by connecting, automating and instrumenting technologies in order to enable secure, rapid, accurate and efficient management of data, systems and services, both in the cloud and in private data centers
The Experiences and Interfaces (UI/UX) team provides Developers, Info workers, and IT Admins the tools and standards that simplify creation of and promote consistent UI experiences and increase speed to delivery across products within the Cloud and Data Transformation Engineering Organization. The organization plays a critical business role by connecting, automating, and instrumenting technologies in order to enable secure, rapid, accurate, and efficient management of data, systems, and services - both in the cloud and in private data servers
The Baselines & Tenant Lifecycle Services team plays a crucial role in orchestrating the magic behind many of The Walt Disney Company’s beloved businesses and brands. We take on complex challenges and build solutions that automate the management of data and technologies for the entire Disney family of companies. Our work ensures the success of our customers’ products and services by equipping them with tools for rapid, secure and efficient management of their data and tech-both in the cloud and in private data centers-empowering Disney to continue telling stories the world loves.
Your technical skills could include a mix of:
Technical proficiency with one or more of the following: Python, NodeJS, Java, Go
Experience with API creation and consumption in REST or GraphQL
Experience with Software Design, Architectural design, and UI preferably in a Cloud environment
An understanding of data structures and algorithms
Experience with SQL
Or a mix of:
3+ years - experience with core Cloud Services (IAM, CloudWatch, S3)
2+ years - experience with Serverless stacks (Lambda, DynamoDb, etc.)
1+ years - experience with Infrastructure as Code - Terraform, AWS CDK, Terraform CDK, CloudFormation added plus - architecture certification in cloud provider
1+ years - experience in CI/CD pipelines (GitlLab, GitHub)
Education:
Bachelor’s degree in Computer Science / Software Engineering, or equivalent degree or equivalent experience
Show Less",Remote,10000+ Employees,Company - Public,Media & Communication,1923,Film Production,$10+ billion (USD)
40,Software Quality Engineer - Launch 2023,-1,4.3,"Mastercard
4.3","Our Purpose
We work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. We cultivate a
culture of inclusion
for all employees that respects their individual strengths, views, and experiences. We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results.
Job Title
Software Quality Engineer - Launch 2023
The Mastercard Launch program is aimed at early career talent, to help you develop skills and gain cross-functional work experience. Over a period of 18 months, Launch participants will be assigned to a business unit, learn and develop skills, and gain valuable on the job experience.

Be a part of the Technology team at Mastercard, Data and Services

Software Quality Engineers are responsible for ensuring great products and analytics for our users. At Mastercard, SQE's are a key part of our development teams working alongside software development engineers, product managers, and user experience designers in small teams and are deeply engaged throughout the entire development process. SQE help guarantee the highest quality products and fastest possible software delivery.

What is Data & Services?
The Data & Services Team (D&S) is a key differentiator for Mastercard, providing the cutting-edge services that help our customers grow. Focused on thinking big and scaling fast around the globe, this team is responsible for end-to-end solutions for a diverse global customer base. We combine traditional management consulting with our rich data assets and in-house technology to provide our clients with powerful insights and tools to drive fact-based decision making. Centered on data-driven technologies and innovation, our services include consulting, loyalty and marketing programs, test-and-learn business experimentation, and data-driven information and risk management. While specializing in the payments industry, Mastercard Data & Services also works closely with major retailers, airlines, and other enterprises, leveraging data and insights garnered from within and beyond its network.
We are looking for passionate and talented technologists, who share our vision for empowering our customers to make better fact-based decisions, to join us and shape the growth of our team.
Who is Mastercard?
Mastercard is the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, and a technology innovation lab. We ensure every employee has the opportunity to be a part of something bigger and to change lives. We believe as our company grows, so should you.
Position Responsibilities:
As a part of Data & Services, you will ensure quality for revolutionary products that advance how businesses all over the world seize the most value from their data. As a Software Quality Engineer I, you will:
Execute testing of large, complex, high-quality features with minimal oversight
Design test plans, working with teammates in developer and product management roles to understand the technical and business needs of the functionality to be tested
Ensure that calculations are correct in all circumstances
Assist in the management and coordination of large testing and release efforts with internal stakeholders
Develop, maintain, and enhance automated testing processes
Ensure an intuitive user experience which can drive value for users of any mathematical or business background
Prioritize feature testing work for your team
Innovate and continually learn and work with new technologies
Invest in personal growth and take on team responsibilities

Required Candidate Qualifications
Excellent attention to detail and organizational skills
Passion for analytical / quantitative problem solving
Strong ability to communicate technical concepts or challenging feedback to a variety of audiences
Collaborative, team-oriented mindset
Gravitation towards understanding the ins and outs of the tools you work with vs. just using them for the task at hand
Flexibility to learn and work in different parts of the stack
Nice to Haves
Experience with C#, React/Redux, Selenium, Cypress, SQL Server, Git, Jenkins, Postman, and/or Splunk
Familiarity with a variety of different testing techniques, such as test planning, UI testing, automated testing, analytic testing, or test driven development strategies.
Experience in designing and implementing automated tests and testing infrastructures
COVID-19 Considerations
In many locations, we’ve implemented a virtual hiring process and continue to interview candidates by video or phone. In addition, in our NYC offices, as required by law, only individuals who have been fully vaccinated against COVID-19 will be permitted inside Mastercard offices unless a reasonable accommodation has been approved in advance.
In the US, Mastercard is an inclusive Equal Employment Opportunity employer that considers applicants without regard to gender, gender identity, sexual orientation, race, ethnicity, disabled or veteran status, or any other characteristic protected by law. If you require accommodations or assistance to complete the online application process, please contact reasonable_accommodation@mastercard.com and identify the type of accommodation or assistance you are requesting. Do not include any medical or health information in this email. The Reasonable Accommodations team will respond to your email promptly.
Corporate Security Responsibility
All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected that every person working for, or on behalf of, Mastercard is responsible for information security and must:
Abide by Mastercard’s security policies and practices;
Ensure the confidentiality and integrity of the information being accessed;
Report any suspected information security violation or breach, and
Complete all periodic mandatory security trainings in accordance with Mastercard’s guidelines.
Start your job application: click Apply Now
Show Less",Remote,10000+ Employees,Company - Public,Financial Services,1966,Financial Transaction Processing,$5 to $10 billion (USD)
41,Frontend Engineer,-1,5.0,"UpCodes
5.0","THE ROLE
As a foundational member of our engineering team, you'll take care of all things frontend for new features in our web app.
We have a frequent cadence of shipping new features and a close connection to our market. With 500k monthly active users spending hundreds of thousands of hours on the platform, each contribution and feature you ship will have a meaningful impact for the users.
While you will mostly do frontend, you'll also be expected to pick up some backend since we like all engineers to be able across the stack.
THE IDEAL CANDIDATE
2+ years of experience building web products, ideally across the stack
Clean simple code, even when solving complex frontend problems
Strong sense of UX / UI / design
Ability to learn new tech quickly
TECHNOLOGY STACK
TypeScript, React, Next.js, Tailwind, Python, PostgreSQL, Flask, Redis, AWS, Kubernetes
EXAMPLE PROJECTS
Help us finish the jQuery / CSS to React / Next / Tailwind migration that's currently underway
Create Rap Genius-style annotations on sections of building code, to create a more interactive user experience
Review our web app's security
Tweak CDN configuration to improve SEO scores
Create dynamic question flow similar to tax software
Job Type: Full-Time
Pay: $110k-$165k base
Show Less",Remote,1 to 50 Employees,Company - Private,"Construction, Repair & Maintenance Services",2016,Construction,Unknown / Non-Applicable
